time,gas,strain,mean,sd
0,O2,WT,18.75,0.06
3,O2,WT,9.545,0.005
4.5,O2,WT,3.865,0.635
5.5,O2,WT,2.235,0.445
6.5,O2,WT,2.09,0.55
8.5,O2,WT,1.765,0.855
20.5,O2,WT,1.395,0.775
0,O2,"∆hoxGHC,∆hofG",19,0.2
3,O2,"∆hoxGHC,∆hofG",11.265,0.835
4.5,O2,"∆hoxGHC,∆hofG",6.885,0.895
5.5,O2,"∆hoxGHC,∆hofG",4.435,1.025
6.5,O2,"∆hoxGHC,∆hofG",3.515,0.835
8.5,O2,"∆hoxGHC,∆hofG",3.275,0.685
20.5,O2,"∆hoxGHC,∆hofG",2.55,0.59
0,H2,WT,0,0
3,H2,WT,0,0
4.5,H2,WT,0,0
5.5,H2,WT,0,0
6.5,H2,WT,0,0
8.5,H2,WT,18.5,18.5
20.5,H2,WT,1269.5,301.5
0,H2,"∆hoxGHC,∆hofG",0,0
3,H2,"∆hoxGHC,∆hofG",0,0
4.5,H2,"∆hoxGHC,∆hofG",0,0
5.5,H2,"∆hoxGHC,∆hofG",0,0
6.5,H2,"∆hoxGHC,∆hofG",0,0
8.5,H2,"∆hoxGHC,∆hofG",0,0
20.5,H2,"∆hoxGHC,∆hofG",0,0
